Date,ABT,AMZN,AVGO,CAT,JNJ,JPM,NVDA,PLD,TSLA,WMT,XOM,S&P_500_Index
2016-01-01,31.351608276367188,29.350000381469727,10.24107265472412,48.7145881652832,79.17568969726562,45.39904022216797,0.7144984006881714,29.856199264526367,12.74666690826416,18.47380828857422,50.23701858520508,1918.6
2016-02-01,32.29131317138672,27.625999450683597,10.260986328125,53.651493072509766,79.75941467285156,43.24558639526367,0.7649937868118286,29.092199325561523,12.795332908630373,18.46824836730957,51.7212028503418,1904.42
2016-03-01,34.866966247558594,29.68199920654297,11.833410263061523,60.6571044921875,82.6205825805664,45.48851776123047,0.8723226189613342,33.41897201538086,15.317999839782717,19.066774368286133,54.43061828613281,2021.95
2016-04-01,32.4246826171875,32.97949981689453,11.2001953125,61.59223937988281,85.58330535888672,48.54566955566406,0.8698743581771851,34.693416595458984,16.05066680908203,18.753604888916016,57.5627326965332,2075.54
2016-05-01,33.234962463378906,36.13949966430664,11.861833572387695,58.023685455322266,86.04911804199219,50.50687789916992,1.1438367366790771,36.31312942504883,14.881999969482422,19.850156784057617,57.96642303466797,2065.55
2016-06-01,32.96660614013672,35.78099822998047,11.94175910949707,60.66437530517578,93.284912109375,48.08483505249024,1.1539254188537598,37.46676254272461,14.152000427246094,20.6282958984375,61.55294799804688,2083.89
2016-07-01,37.52875900268555,37.94049835205078,12.48666763305664,66.22586822509766,96.3072738647461,49.50092697143555,1.4015989303588867,41.98786163330078,15.652667045593262,20.614171981811523,58.40766143798828,2148.9
2016-08-01,35.45637130737305,38.45800018310547,13.599809646606444,66.2094497680664,91.77762603759766,52.63909912109375,1.5056750774383545,40.92449569702149,14.133999824523926,20.181947708129883,57.21913146972656,2177.48
2016-09-01,35.68417739868164,41.865501403808594,13.299169540405272,71.71947479248047,91.45313262939452,51.92943572998047,1.685017704963684,41.25583267211914,13.60200023651123,20.513521194458008,57.79981231689453,2157.69
2016-10-01,33.110595703125,39.49100112915039,13.166080474853516,67.42941284179688,89.79639434814453,54.01160430908203,1.749940037727356,40.52294158935547,13.182000160217283,19.916202545166016,55.177345275878906,2143.02
2016-11-01,32.327571868896484,37.52849960327149,13.182321548461914,77.88679504394531,86.16551971435547,62.97412490844727,2.267347574234009,39.5440559387207,12.626667022705078,20.03282165527344,57.81305313110352,2164.99
2016-12-01,32.61628723144531,37.493499755859375,13.667891502380373,75.58834838867188,89.80887603759766,67.78144836425781,2.6288392543792725,41.01238250732422,14.246000289916992,19.66021728515625,60.30255126953125,2246.63
2017-01-01,35.469459533691406,41.17399978637695,15.513564109802246,77.96833038330078,88.28099822998047,66.47747802734375,2.6889331340789795,38.26187896728516,16.795333862304688,19.11911964416504,56.04674530029297,2275.12
2017-02-01,38.52745056152344,42.25199890136719,16.402389526367188,79.43706512451172,95.26554107666016,71.57656860351562,2.499293088912964,39.98502349853516,16.666000366210938,20.31943702697754,54.32974624633789,2329.91
2017-03-01,37.9548454284668,44.32699966430664,17.02681541442871,76.23197174072266,97.7320556640625,69.38074493408203,2.686161994934082,40.63513946533203,18.553333282470703,20.648876190185547,55.29174423217773,2366.82
2017-04-01,37.2967529296875,46.2495002746582,17.24854850769043,84.03926086425781,96.8846206665039,68.71726989746094,2.5719873905181885,42.9997673034668,20.9379997253418,21.695295333862305,55.04903411865234,2359.31
2017-05-01,39.2618293762207,49.73099899291992,18.706951141357425,87.36412811279297,100.6353759765625,65.2593002319336,3.5596017837524414,43.89278793334961,22.733999252319336,22.68224334716797,54.27369689941406,2395.35
2017-06-01,41.798465728759766,48.400001525878906,18.20467567443848,89.04627990722656,104.49388885498048,72.60743713378906,3.568535327911377,46.34269332885742,24.107332229614254,21.985742568969727,54.94273376464844,2433.99
2017-07-01,42.2885971069336,49.38899993896485,19.34987068176269,94.42417907714844,104.83354949951172,72.92518615722656,4.011639595031738,48.43062973022461,21.564666748046875,23.23783493041992,54.47314453125,2454.1
2017-08-01,44.04435729980469,49.02999877929688,19.774269104003903,98.06034088134766,104.55709838867188,72.59944152832031,4.182709217071533,50.46150588989258,23.726667404174805,22.68005752563477,51.94820785522461,2456.22
2017-09-01,46.13677215576172,48.067501068115234,19.02666664123535,104.08634948730467,103.34620666503906,76.28973388671875,4.416910648345947,50.54114532470703,22.739999771118164,22.843175888061523,56.334251403808594,2492.84
2017-10-01,46.88901901245117,55.26399993896485,20.78772354125977,113.34236907958984,110.818359375,80.36341094970703,5.1097025871276855,51.78211975097656,22.101999282836918,25.52390480041504,57.27568054199219,2557.0
2017-11-01,48.97774505615234,58.837501525878906,21.892841339111328,118.51031494140624,110.75475311279295,83.97457122802734,4.958988189697266,53.10513687133789,20.59000015258789,28.423887252807617,57.23444366455078,2593.61
2017-12-01,49.585933685302734,58.4734992980957,20.235551834106445,132.3050079345703,111.74491119384766,85.91887664794922,4.784170150756836,51.72599029541016,20.75666618347168,28.86823844909668,58.00689315795898,2664.34
2018-01-01,54.008445739746094,72.54450225830078,19.666393280029297,136.67098999023438,110.5212631225586,92.932861328125,6.077255725860596,52.55795669555664,23.62066650390625,31.32731819152832,60.54521942138672,2789.8
2018-02-01,52.66910552978516,75.62249755859375,19.54190826416016,130.43077087402344,103.87510681152344,93.27965545654295,5.983303546905518,48.981971740722656,22.87066650390625,26.451885223388672,52.52797317504883,2705.16
2018-03-01,52.3111686706543,72.36699676513672,18.684783935546875,124.31536102294922,103.14778137207033,88.81352996826172,5.729481220245361,50.84665298461914,17.742000579833984,26.146255493164062,52.27341079711914,2702.77
