key_0,ABT,AMZN,AVGO,CAT,JNJ,JPM,NVDA,PLD,TSLA,WMT,XOM,S&P 500 Index
2016-01-01,31.351613998413086,29.350000381469727,10.241069793701172,48.71456527709961,79.1756820678711,45.39903259277344,0.7144586443901062,29.85618782043457,12.74666690826416,18.473812103271484,50.23698806762695,1918.6
2016-02-01,32.29132843017578,27.625999450683594,10.260985374450684,53.65149688720703,79.75943756103516,43.24557113647461,0.7649512887001038,29.092185974121094,12.795332908630371,18.46824836730957,51.72119903564453,1904.42
2016-03-01,34.86695098876953,29.68199920654297,11.833410263061523,60.65708541870117,82.62056732177734,45.4885139465332,0.8722739219665527,33.41896057128906,15.317999839782715,19.066776275634766,54.430641174316406,2021.95
2016-04-01,32.424686431884766,32.97949981689453,11.20019817352295,61.592227935791016,85.58333587646484,48.54566192626953,0.8698257803916931,34.69344711303711,16.05066680908203,18.753599166870117,57.562744140625,2075.54
2016-05-01,33.23496627807617,36.13949966430664,11.861835479736328,58.02366638183594,86.04914093017578,50.50688171386719,1.1437731981277466,36.3131217956543,14.881999969482422,19.85015296936035,57.96644592285156,2065.55
2016-06-01,32.96659851074219,35.78099822998047,11.941753387451172,60.66436767578125,93.28494262695312,48.0848388671875,1.1538615226745605,37.466758728027344,14.152000427246094,20.6282958984375,61.55292892456055,2083.89
2016-07-01,37.52875900268555,37.94049835205078,12.486664772033691,66.22587585449219,96.30728149414062,49.500919342041016,1.40152108669281,41.98787307739258,15.652667045593262,20.614171981811523,58.40766525268555,2148.9
2016-08-01,35.45635223388672,38.45800018310547,13.59981632232666,66.20942687988281,91.77759552001953,52.63909912109375,1.5055913925170898,40.92448806762695,14.133999824523926,20.18194580078125,57.21915817260742,2177.48
2016-09-01,35.684181213378906,41.865501403808594,13.299169540405273,71.71946716308594,91.45311737060547,51.929447174072266,1.6849243640899658,41.255828857421875,13.60200023651123,20.513525009155273,57.79979705810547,2157.69
2016-10-01,33.110599517822266,39.49100112915039,13.166083335876465,67.42942810058594,89.79640197753906,54.011619567871094,1.7498422861099243,40.52293395996094,13.182000160217285,19.91619873046875,55.17734909057617,2143.02
2016-11-01,32.327571868896484,37.528499603271484,13.182321548461914,77.88679504394531,86.16552734375,62.97411346435547,2.267221689224243,39.54405975341797,12.626667022705078,20.032825469970703,57.81305694580078,2164.99
2016-12-01,32.61629104614258,37.493499755859375,13.667889595031738,75.58834075927734,89.80886840820312,67.78142547607422,2.6286938190460205,41.01237869262695,14.246000289916992,19.66020965576172,60.30254364013672,2246.63
2017-01-01,35.46946334838867,41.17399978637695,15.513561248779297,77.96832275390625,88.281005859375,66.47748565673828,2.6887834072113037,38.261878967285156,16.795333862304688,19.119125366210938,56.046756744384766,2275.12
2017-02-01,38.52745819091797,42.25199890136719,16.40238380432129,79.43707275390625,95.26554107666016,71.57654571533203,2.499154567718506,39.98503494262695,16.666000366210938,20.319442749023438,54.329734802246094,2329.91
2017-03-01,37.954830169677734,44.32699966430664,17.026817321777344,76.23196411132812,97.73206329345703,69.3807601928711,2.686012029647827,40.635135650634766,18.553333282470703,20.648883819580078,55.2917366027832,2366.82
2017-04-01,37.2967643737793,46.2495002746582,17.24854850769043,84.03927612304688,96.88461303710938,68.71726989746094,2.571845054626465,42.9997673034668,20.937999725341797,21.695301055908203,55.04903030395508,2359.31
2017-05-01,39.2618293762207,49.73099899291992,18.706953048706055,87.3641128540039,100.6353988647461,65.25930786132812,3.559403896331787,43.89279556274414,22.733999252319336,22.68223762512207,54.27368927001953,2395.35
2017-06-01,41.7984619140625,48.400001525878906,18.204679489135742,89.04627227783203,104.49388122558594,72.60742950439453,3.568336248397827,46.34270095825195,24.107332229614258,21.985742568969727,54.94273376464844,2433.99
2017-07-01,42.288604736328125,49.388999938964844,19.349864959716797,94.42420196533203,104.83354949951172,72.92517852783203,4.011416435241699,48.430633544921875,21.564666748046875,23.23782730102539,54.47312545776367,2454.1
2017-08-01,44.044368743896484,49.029998779296875,19.774272918701172,98.06034088134766,104.55705261230469,72.59944915771484,4.182478427886963,50.46150207519531,23.726667404174805,22.680057525634766,51.948211669921875,2456.22
2017-09-01,46.13678741455078,48.067501068115234,19.026670455932617,104.08636474609375,103.3462142944336,76.28973388671875,4.416665554046631,50.54115676879883,22.739999771118164,22.84317970275879,56.33425521850586,2492.84
2017-10-01,46.88901138305664,55.263999938964844,20.7877197265625,113.3423843383789,110.81834411621094,80.36344146728516,5.1094160079956055,51.78211975097656,22.101999282836914,25.523906707763672,57.27566909790039,2557.0
2017-11-01,48.97773361206055,58.837501525878906,21.89283561706543,118.5102767944336,110.7547607421875,83.97460174560547,4.958711624145508,53.10512924194336,20.59000015258789,28.423885345458984,57.23445129394531,2593.61
2017-12-01,49.58594512939453,58.4734992980957,20.235551834106445,132.3050079345703,111.74492645263672,85.91889953613281,4.783903121948242,51.72598648071289,20.75666618347168,28.868236541748047,58.00687789916992,2664.34
2018-01-01,54.008453369140625,72.54450225830078,19.666393280029297,136.6709747314453,110.52127838134766,92.9328384399414,6.076916217803955,52.557945251464844,23.62066650390625,31.32731056213379,60.54519271850586,2789.8
2018-02-01,52.66912078857422,75.62249755859375,19.541908264160156,130.43075561523438,103.87508392333984,93.27965545654297,5.98297119140625,48.98197555541992,22.87066650390625,26.451894760131836,52.52798843383789,2705.16
2018-03-01,52.311161041259766,72.36699676513672,18.68478012084961,124.31535339355469,103.14777374267578,88.81356048583984,5.729161262512207,50.846649169921875,17.742000579833984,26.14626121520996,52.27342987060547,2702.77
